"","cell01","cell02","cell03","cell04","cell05","cell06","cell07","cell08","cell09","cell10","cell11","cell12","cell13","cell14","cell15","cell16","cell17","cell18","cell19","cell20","cell21","cell22","cell23","cell24","cell25","cell26","cell27","cell28","cell29","cell30","cell31","cell32","cell33","cell34","cell35","cell36","cell37","cell38","cell39","cell40","cell41","cell42","cell43","cell44","cell45","cell46","cell47","cell48","cell49","cell50","cell51","cell52","cell53","cell54","cell55","cell56","cell57","cell58","cell59","cell60"
"GENE0087",2,2,3,4,0,0,1,0,1,1,1,1,2,3,0,4,2,2,2,0,1,2,0,1,3,5,1,1,2,0,0,0,2,1,1,1,5,1,1,2,2,2,1,2,4,0,3,0,1,0,5,0,3,2,4,2,0,1,3,4
"GENE0088",1,4,1,2,1,1,0,7,1,3,3,1,3,3,0,1,2,4,1,3,1,1,3,2,1,2,0,2,1,1,1,2,4,2,2,3,2,1,1,5,4,1,1,0,3,4,1,1,3,5,1,2,2,0,3,4,3,5,0,5
"GENE0089",0,1,2,2,3,2,4,3,0,0,2,1,1,3,2,1,2,1,1,3,0,1,5,5,0,3,2,1,1,1,1,2,1,1,2,3,1,3,3,0,2,3,2,3,0,5,2,4,3,4,1,4,2,2,1,0,2,2,3,3
"GENE0090",1,1,3,2,1,2,1,2,4,1,1,4,1,5,2,1,2,2,2,1,1,1,1,0,0,1,2,0,3,3,2,3,0,2,2,2,2,0,3,3,3,0,6,1,1,1,0,3,1,1,3,1,1,1,4,2,2,0,0,1
"GENE0091",3,0,2,2,1,0,1,1,7,4,1,0,2,1,3,1,4,1,5,2,2,0,4,0,3,1,6,3,3,1,3,2,2,0,4,0,2,2,5,1,5,4,2,2,1,0,3,2,1,2,1,0,2,2,0,0,3,1,0,1
"GENE0092",2,1,1,0,2,3,3,5,2,1,0,2,1,3,4,1,1,4,1,2,3,4,1,2,6,4,1,2,1,4,2,1,4,2,3,3,2,0,2,3,1,3,1,4,3,5,1,5,0,4,2,2,1,3,3,2,2,2,1,3
"GENE0093",2,3,6,1,2,3,1,1,2,2,1,1,5,1,1,1,2,1,0,1,0,3,1,4,2,1,2,3,6,5,4,1,5,0,2,3,2,5,4,0,3,1,2,0,1,2,2,3,3,3,0,5,1,1,3,0,4,0,4,1
"GENE0094",2,0,0,1,2,4,2,0,3,1,2,2,3,1,3,3,2,1,0,3,4,2,2,6,2,2,3,0,1,2,2,1,3,5,2,3,5,5,4,1,4,3,1,2,1,0,1,0,2,1,1,1,1,2,3,2,4,2,3,3
"GENE0095",2,3,1,3,0,0,2,2,2,9,1,1,0,1,0,1,2,1,3,1,2,2,5,3,0,0,1,0,4,2,0,1,2,4,3,0,2,2,2,2,0,4,0,0,2,1,1,2,1,2,0,2,0,0,2,2,1,5,2,3
"GENE0096",1,5,2,0,1,0,1,2,1,2,0,1,2,2,1,1,1,1,1,3,2,0,0,6,1,1,0,4,8,1,1,3,2,0,3,0,2,4,0,3,2,3,1,1,4,2,3,0,2,1,1,2,1,2,1,1,3,7,1,3
"GENE0097",3,1,0,4,1,2,1,1,2,3,0,1,4,0,4,3,4,0,2,0,2,1,1,0,2,3,3,1,2,5,4,2,5,5,1,4,6,2,3,4,3,4,2,0,5,1,0,4,1,3,1,6,3,1,4,2,4,1,1,1
"GENE0098",2,0,0,4,1,5,0,1,2,2,1,2,1,2,3,1,1,4,2,2,2,3,1,2,6,1,3,2,2,1,1,2,0,4,2,4,2,2,1,0,0,0,0,0,2,3,1,1,1,2,0,2,1,2,2,2,1,2,1,4
"GENE0099",3,0,2,3,3,2,1,5,4,3,3,0,2,0,1,3,4,3,2,3,3,4,3,2,3,2,3,2,3,0,0,3,2,4,1,3,2,2,1,2,1,1,2,3,2,2,1,2,4,2,0,2,2,2,0,1,4,1,8,4
"GENE0100",3,3,2,5,0,6,5,0,2,3,1,0,0,2,6,0,3,4,1,3,3,3,2,0,4,2,7,0,1,2,1,2,0,1,3,1,3,0,1,1,1,1,3,1,1,3,3,1,1,2,1,2,0,1,1,0,1,0,0,2
"GENE0101",4,2,1,2,2,2,1,2,2,3,0,2,4,2,3,2,3,4,1,1,3,0,4,3,1,2,2,4,1,1,1,1,2,2,2,2,1,3,0,2,2,3,6,3,3,3,1,2,3,3,2,1,3,2,5,4,2,2,2,2
"GENE0102",4,2,4,2,0,0,4,1,0,1,4,3,3,2,2,4,4,0,2,4,2,2,1,4,2,2,1,2,2,3,1,0,0,1,0,4,2,0,2,1,2,2,1,3,3,2,2,1,2,4,1,0,1,1,1,1,2,4,0,1
"GENE0103",1,1,2,1,2,2,0,2,4,1,2,3,1,2,2,3,2,1,1,2,3,0,4,1,3,2,1,3,2,3,0,3,6,2,2,0,2,1,3,6,4,3,1,2,1,1,1,1,2,3,4,3,6,2,1,3,1,3,0,2
"GENE0104",1,1,2,0,3,1,1,1,1,1,3,3,2,0,4,3,1,3,0,1,4,1,4,6,3,4,4,2,1,2,1,2,0,3,3,2,0,0,0,4,1,0,2,3,1,0,2,0,2,0,1,3,4,1,2,5,3,0,1,2
"GENE0105",3,2,1,3,2,3,3,3,2,1,1,3,2,3,3,1,2,1,5,3,1,1,4,2,0,1,3,0,3,1,2,0,2,2,3,2,4,1,2,1,5,0,3,5,2,1,3,2,3,3,1,2,2,2,2,2,3,1,2,0
"GENE0106",3,3,2,0,1,3,1,1,1,1,3,4,2,3,3,2,2,3,3,1,5,1,4,2,2,3,0,3,0,4,2,1,0,1,2,3,2,0,1,1,0,2,2,1,2,2,1,0,2,0,1,1,2,2,2,2,2,4,1,2
"GENE0107",4,0,6,1,4,2,1,2,3,3,1,3,2,2,3,2,4,0,2,3,3,0,1,0,3,1,3,1,3,5,2,5,0,1,2,1,1,3,4,2,0,4,1,2,2,3,2,3,2,1,0,3,2,2,2,3,0,2,3,4
"GENE0108",3,5,6,2,0,2,2,1,2,3,1,2,4,1,2,1,3,2,1,1,2,3,1,6,1,3,3,6,3,3,0,1,2,3,4,2,0,2,0,1,1,1,2,3,0,3,1,5,0,0,2,2,3,4,3,1,2,0,3,0
"GENE0109",0,1,2,1,1,1,0,2,1,3,2,2,2,2,4,3,4,3,1,1,2,3,1,1,1,3,2,0,1,1,2,3,1,3,3,4,5,2,2,1,0,2,2,1,2,5,1,0,2,1,4,2,3,2,1,2,4,4,4,1
"GENE0110",1,0,3,0,4,4,2,2,1,3,4,3,4,0,4,0,2,2,2,2,4,2,2,3,1,0,1,2,5,1,2,5,2,2,0,0,2,0,3,1,0,3,3,1,1,3,1,2,1,2,1,4,0,3,1,2,1,0,0,3
"GENE0111",1,4,1,4,3,2,1,1,2,3,2,4,3,1,4,1,2,2,1,1,0,2,4,2,1,4,5,3,2,0,1,1,1,3,2,0,2,0,0,1,2,3,1,4,5,3,1,1,1,3,0,4,1,7,2,1,4,2,2,3
"GENE0112",3,2,3,1,0,3,4,3,3,5,2,0,3,2,0,1,4,1,3,4,3,1,1,1,2,3,3,4,5,1,3,0,1,2,6,3,1,0,1,2,2,1,3,2,0,1,2,1,2,2,4,3,0,1,0,2,2,2,1,0
"GENE0113",0,2,2,2,3,1,1,0,4,1,4,1,2,1,2,1,2,0,1,2,2,1,2,2,1,2,6,1,1,2,2,2,2,3,0,0,2,1,2,3,1,2,0,3,2,2,2,0,2,1,2,3,2,2,1,3,2,2,2,0
"GENE0114",0,1,7,0,4,0,2,1,3,3,4,3,0,2,2,2,1,1,3,2,3,2,1,1,1,1,4,2,1,2,0,1,3,1,2,3,0,2,2,3,2,0,3,1,1,2,2,1,3,0,1,4,1,3,1,2,0,0,3,1
"GENE0115",0,3,3,2,0,4,0,0,2,5,2,0,4,3,2,0,5,2,2,0,0,2,1,2,3,2,1,2,2,1,2,0,1,4,2,2,3,2,0,1,1,1,0,1,2,2,2,1,2,4,3,1,5,1,2,4,2,2,1,3
"GENE0116",0,2,2,1,1,2,2,2,0,1,0,2,1,1,4,1,1,0,0,1,3,3,1,4,2,2,0,1,0,2,4,0,1,3,4,1,1,3,2,0,1,1,1,2,2,1,4,5,3,3,1,2,0,1,4,2,2,4,3,2
"GENE0117",2,5,2,1,2,0,1,2,4,0,2,2,2,3,1,7,4,2,0,2,1,1,1,1,2,2,2,3,1,2,1,1,2,1,0,2,0,4,0,3,4,4,3,2,2,2,2,1,4,3,5,2,1,3,1,3,0,2,3,2
"GENE0118",0,4,1,1,0,0,0,0,0,1,1,4,0,0,3,0,3,8,1,3,1,2,3,3,6,1,1,3,4,0,3,1,1,3,2,1,2,1,3,2,4,2,3,0,1,2,1,4,1,2,2,3,3,2,2,4,2,0,1,3
"GENE0119",3,2,0,3,2,3,2,1,7,1,6,2,3,0,0,0,1,1,4,2,1,2,4,3,3,2,0,2,2,1,1,2,5,2,1,1,4,2,1,1,1,4,2,3,1,0,1,3,0,3,3,5,1,4,1,3,1,1,1,0
"GENE0120",3,0,2,1,0,2,2,2,0,5,2,3,4,1,3,4,1,4,2,1,2,4,2,2,0,2,3,3,3,1,4,1,1,1,3,4,4,5,2,4,1,2,0,3,1,1,1,1,4,2,1,0,3,0,3,3,4,3,2,4
"GENE0121",4,0,2,4,3,1,2,3,3,6,1,1,0,3,1,2,4,0,2,2,1,2,3,4,3,1,1,1,1,1,4,0,1,2,2,2,1,2,1,2,0,1,2,3,2,3,5,4,3,2,1,2,1,3,3,1,1,2,3,2
"GENE0122",2,2,1,4,0,2,0,2,1,2,3,0,1,3,4,0,5,2,0,5,1,5,2,0,2,0,3,1,1,2,2,3,0,1,4,3,3,2,0,1,3,5,1,4,3,1,0,4,2,2,0,2,3,1,2,2,3,2,2,1
"GENE0123",3,2,3,1,3,2,2,3,1,3,1,2,1,0,2,5,2,1,4,1,3,2,4,1,2,3,1,2,3,1,0,3,1,0,0,1,1,1,0,1,1,2,0,2,0,1,2,3,1,3,4,4,4,2,6,2,5,1,1,0
"GENE0124",2,2,1,2,2,1,1,1,5,4,1,3,0,3,2,1,1,4,2,3,3,3,1,2,3,0,1,4,1,0,6,1,5,3,1,5,3,1,0,1,2,2,2,4,1,3,2,4,3,1,1,1,2,3,2,4,4,2,0,3
"GENE0125",1,4,2,2,2,3,1,2,2,3,1,2,4,2,1,3,0,1,3,0,2,2,1,2,2,3,2,0,2,1,3,3,1,1,2,1,1,1,3,1,3,3,2,0,2,2,1,4,1,2,0,4,3,0,1,1,0,5,0,1
"GENE0126",2,0,2,1,0,4,1,3,2,3,3,5,2,1,3,1,2,1,2,2,1,0,2,2,1,4,2,1,0,1,3,4,5,3,3,2,2,2,1,3,3,0,2,0,3,3,2,2,2,2,2,2,0,2,3,2,1,3,1,4
"GENE0127",5,5,3,2,2,3,1,2,1,2,2,2,3,1,3,2,4,1,4,0,1,0,2,1,2,2,5,6,1,0,3,2,3,1,2,1,2,1,2,2,2,0,2,5,1,4,4,3,2,2,3,2,4,3,1,2,1,1,3,3
"GENE0128",2,1,1,1,3,2,2,6,0,3,0,1,1,1,3,1,3,3,5,0,4,4,2,1,6,1,0,1,2,3,2,5,0,0,2,5,0,1,0,3,3,8,1,0,3,2,1,2,5,3,3,1,4,3,2,2,2,0,4,2
"GENE0129",1,0,2,1,1,1,1,0,6,1,3,3,2,2,1,3,2,0,0,0,1,3,1,2,3,3,1,0,2,4,4,1,2,2,2,2,1,2,1,0,3,1,5,2,4,2,1,3,4,1,2,3,3,4,3,1,2,4,1,2
"GENE0130",1,1,2,2,3,2,1,2,2,1,1,3,3,0,1,3,1,2,0,4,4,1,3,2,0,0,1,2,2,1,2,1,1,2,1,1,2,2,0,0,2,2,4,1,1,1,1,0,5,0,1,4,2,3,1,1,2,3,1,2
"GENE0131",2,0,2,1,2,4,1,1,0,1,2,3,2,4,2,5,3,2,3,2,1,0,2,2,2,1,3,6,1,1,1,3,2,4,1,3,0,1,1,1,0,3,1,1,4,3,5,1,0,2,0,1,2,0,1,1,2,2,2,1
"GENE0132",2,2,2,4,2,5,1,1,1,0,1,2,1,2,3,0,4,2,1,1,4,0,1,3,1,3,2,2,2,1,1,2,0,0,0,4,3,0,3,5,1,2,1,2,2,2,1,2,2,4,0,0,1,0,1,3,1,1,1,2
"GENE0133",1,1,3,2,1,0,0,1,2,2,2,0,3,0,3,2,5,3,1,2,2,6,1,2,2,2,3,3,2,4,3,2,4,3,3,5,2,2,0,2,2,1,3,1,0,1,2,0,1,3,2,2,2,1,3,1,2,3,4,1
"GENE0134",0,3,1,2,1,1,1,7,2,2,2,2,5,4,3,2,0,2,0,1,3,2,2,1,0,2,5,2,2,4,3,1,2,3,3,1,0,2,2,2,2,6,3,2,1,1,1,0,4,1,1,6,2,1,2,3,0,1,0,0
"GENE0135",2,1,3,3,1,3,0,3,2,0,1,5,2,1,0,1,4,4,2,1,3,5,2,1,3,3,2,1,5,0,2,5,1,0,3,3,3,1,2,1,3,0,2,1,0,4,1,6,2,2,2,5,2,1,0,2,2,2,2,0
"GENE0136",3,1,4,2,3,2,2,3,2,3,1,3,3,0,1,1,1,1,1,3,1,2,2,2,0,2,3,1,2,1,2,3,2,2,3,1,1,2,2,5,1,2,2,2,3,5,7,1,0,3,1,1,4,6,0,3,1,2,4,2
"GENE0137",2,1,0,4,0,1,3,4,2,1,4,2,2,6,3,4,1,5,1,1,1,3,2,1,3,2,3,2,1,3,1,3,5,3,1,2,2,2,3,3,4,0,3,0,1,4,2,1,2,1,2,2,1,1,3,2,3,0,2,2
"GENE0138",1,3,1,0,1,1,0,2,0,2,0,3,0,4,0,4,6,3,4,3,1,2,1,3,1,1,2,1,2,1,4,2,1,1,2,1,0,5,1,1,3,2,3,1,3,2,0,3,7,1,3,0,4,0,4,0,2,2,2,1
"GENE0139",2,2,2,0,3,0,1,3,0,3,3,1,0,0,0,5,2,2,2,3,1,0,4,2,4,2,1,2,2,1,3,5,0,1,2,0,2,3,1,1,0,1,2,2,2,3,4,5,2,2,4,4,2,2,5,1,1,2,2,0
"GENE0140",4,0,1,2,1,3,3,4,4,5,2,1,0,4,2,3,4,3,0,2,1,1,0,3,0,1,3,2,2,0,3,1,0,2,1,1,2,1,1,2,3,2,1,4,1,1,2,0,0,1,0,2,3,1,1,3,7,1,1,2
"GENE0141",2,0,2,1,4,0,1,0,2,1,1,0,5,1,2,1,1,1,2,0,3,2,2,2,0,1,1,6,0,2,2,1,2,3,1,3,3,3,3,1,1,2,2,3,2,3,1,0,5,0,1,1,1,0,2,2,4,2,4,3
"GENE0142",1,2,2,2,0,2,2,5,3,2,2,2,1,2,2,1,1,1,4,2,0,3,3,1,1,4,2,1,0,3,1,2,1,1,2,1,2,2,3,2,5,1,2,5,6,1,3,1,4,5,1,3,2,2,3,0,1,0,2,2
"GENE0143",2,5,1,1,1,2,5,5,2,1,3,3,3,2,4,3,1,3,0,3,1,0,1,1,2,3,1,6,3,3,1,4,3,1,2,4,1,2,1,2,3,0,2,6,3,2,1,2,2,2,0,0,3,2,4,5,3,6,1,2
"GENE0144",5,3,3,0,1,1,3,0,1,0,0,3,1,2,1,3,0,1,1,1,0,2,3,3,6,1,3,2,4,1,1,2,4,3,2,1,3,2,2,5,2,4,1,0,2,2,1,1,1,3,4,3,1,0,0,1,4,1,2,0
"GENE0145",1,2,1,0,0,6,2,3,4,3,2,2,3,2,3,2,3,4,3,2,2,1,0,2,2,2,0,3,0,1,1,3,4,0,3,2,5,1,2,1,3,3,2,1,1,2,2,2,2,3,1,1,1,1,2,5,5,2,1,2
"GENE0146",3,0,3,5,1,3,6,3,0,3,0,0,1,4,1,1,0,3,3,0,4,1,2,2,1,0,1,2,0,2,4,0,0,3,2,1,2,1,2,1,1,3,2,1,3,2,2,0,3,4,4,3,4,2,1,2,2,1,1,2
"GENE0147",1,2,1,1,2,2,1,2,3,1,3,4,0,1,3,3,1,5,2,1,2,3,1,2,1,7,3,1,0,2,1,3,0,2,2,2,1,3,4,1,2,3,2,2,2,3,0,2,2,0,2,2,0,4,3,1,1,2,1,1
"GENE0148",1,1,2,0,0,1,1,1,0,2,1,4,2,1,3,0,5,0,0,3,1,0,3,1,4,1,3,3,0,1,2,3,1,0,4,1,3,2,2,3,2,3,0,1,2,3,1,1,3,1,4,2,0,2,5,1,4,6,1,1
"GENE0149",0,3,3,1,6,4,3,0,4,3,2,2,2,1,1,3,3,3,1,2,1,3,1,2,1,2,1,2,3,2,3,5,1,1,2,4,2,2,1,2,0,1,2,3,1,2,1,1,1,2,0,0,4,1,1,1,1,2,0,0
"GENE0150",1,2,2,0,4,2,4,1,3,3,2,1,1,1,1,3,4,2,3,2,3,0,3,5,0,4,3,1,0,2,1,3,2,4,2,2,1,5,4,0,1,1,2,2,3,2,4,4,1,1,2,2,1,2,2,2,2,2,2,0
"GENE0151",1,2,1,1,5,3,1,1,1,0,0,1,1,4,2,2,3,4,1,3,1,2,4,1,3,2,2,1,1,0,2,4,0,3,4,2,5,1,2,3,1,3,2,2,1,1,1,1,3,1,1,3,2,5,1,2,2,5,0,3
"GENE0152",1,2,1,1,1,0,4,1,3,1,3,5,0,2,2,2,1,1,4,4,0,2,4,3,1,0,3,1,5,3,1,1,4,4,3,4,2,0,0,2,1,1,3,0,0,1,2,3,4,1,3,3,1,3,1,1,1,3,1,2
"GENE0153",1,2,1,0,0,1,4,2,2,0,3,6,0,2,4,2,2,2,1,4,1,1,2,2,1,1,3,1,0,3,0,4,1,1,1,6,2,3,3,0,0,3,3,1,3,1,3,3,1,1,3,2,4,2,2,1,3,0,4,2
"GENE0154",0,0,1,1,1,3,3,0,1,1,2,2,4,2,2,0,0,1,0,4,4,3,2,4,1,2,2,4,3,0,0,2,1,3,3,0,0,3,3,4,0,0,0,2,2,2,3,0,3,3,2,2,2,5,2,0,5,4,2,3
"GENE0155",7,4,2,2,1,3,1,3,2,0,1,0,3,2,0,0,1,0,0,4,1,2,1,2,1,3,2,1,0,0,2,4,1,3,3,2,2,3,1,3,2,2,2,1,2,3,0,2,1,2,2,1,3,2,3,5,4,2,2,1
"GENE0156",3,0,3,2,2,2,2,3,3,0,5,1,5,2,4,3,5,1,3,2,1,4,3,1,6,2,3,2,2,0,2,0,0,4,1,2,0,1,3,5,1,3,0,1,0,3,1,3,0,2,2,4,3,1,3,3,3,3,3,0
"GENE0157",0,2,0,1,4,2,1,0,2,2,3,2,4,2,3,0,0,1,2,2,2,0,2,1,3,1,2,4,4,4,1,1,3,3,2,0,0,1,2,4,1,1,1,2,3,1,0,1,2,1,3,4,1,1,4,3,5,2,2,2
"GENE0158",4,1,2,2,2,2,5,1,2,0,2,4,6,3,2,1,3,0,1,0,5,4,1,0,1,0,0,0,1,1,2,1,7,3,1,2,1,0,2,1,0,2,2,1,3,3,3,1,3,3,3,7,2,2,3,3,1,2,1,2
"GENE0159",2,0,3,4,2,2,0,8,1,2,5,2,1,2,0,3,2,5,4,2,0,1,2,3,4,2,1,1,2,4,3,3,2,1,1,3,0,7,2,1,0,2,2,0,1,0,1,1,3,2,4,1,1,0,3,3,0,2,2,3
"GENE0160",2,2,3,0,0,0,1,4,5,0,4,2,3,2,0,1,1,1,4,2,0,2,1,1,3,3,1,3,2,1,4,3,1,1,3,2,2,1,1,1,3,0,2,2,2,2,2,2,1,3,3,2,1,1,1,5,2,2,1,3
"GENE0161",0,2,1,3,4,3,2,0,4,4,0,2,2,3,1,2,1,3,2,2,2,5,2,4,5,3,4,2,2,2,0,4,1,2,2,2,1,0,4,0,2,0,0,1,2,3,1,6,0,4,0,0,1,0,1,3,1,4,4,3
"GENE0162",2,4,0,3,1,1,1,3,3,0,0,5,1,0,3,4,2,1,1,1,0,2,5,3,3,2,1,2,1,4,5,2,4,0,3,1,4,1,3,3,2,4,1,0,4,2,4,2,3,1,1,3,0,2,0,6,2,1,0,1
"GENE0163",0,1,2,0,1,3,4,2,1,2,4,3,5,2,7,2,3,1,3,1,1,0,1,2,3,4,2,4,3,1,0,0,4,1,1,1,1,3,3,0,5,3,5,2,2,2,2,1,4,0,4,2,0,2,1,1,4,1,1,3
"GENE0164",1,3,3,2,2,5,2,0,5,3,1,1,2,3,2,1,4,3,2,1,1,3,2,3,2,1,4,0,5,2,0,2,1,2,1,0,1,1,0,0,1,3,0,2,3,1,3,2,1,1,3,4,2,7,2,2,2,3,1,2
"GENE0165",2,1,2,2,3,1,1,1,0,4,4,1,0,1,3,0,3,1,0,1,3,5,4,3,5,1,2,2,2,2,1,4,2,0,3,0,5,1,1,0,0,2,6,3,3,1,1,3,0,1,3,2,2,2,2,3,1,0,2,3
"GENE0166",2,2,3,1,1,3,2,1,2,3,1,1,0,5,4,1,3,1,1,2,1,2,0,5,1,4,3,1,2,0,1,0,2,6,2,2,1,3,2,0,2,1,3,1,3,3,1,2,2,3,0,2,3,2,2,0,2,3,0,2
"GENE0167",1,1,2,1,2,2,2,1,2,5,1,4,3,2,2,1,2,1,0,3,2,3,4,4,4,1,3,3,0,1,1,1,4,0,2,3,1,2,3,2,1,2,2,1,2,2,1,4,3,1,4,6,1,4,3,0,1,1,3,1
"GENE0168",1,3,1,1,3,3,4,4,3,1,0,2,3,0,3,1,0,4,2,2,4,2,2,0,3,1,3,2,0,0,1,3,1,3,4,1,1,3,2,2,2,5,1,0,2,1,3,3,1,3,1,4,2,1,0,2,1,0,3,2
"GENE0169",2,2,5,3,8,1,2,1,3,1,1,0,1,1,3,2,1,2,1,3,1,1,0,5,2,2,2,1,2,2,3,0,3,1,0,3,0,1,4,3,2,0,2,1,1,2,4,1,2,4,3,2,0,2,0,2,0,1,4,5
"GENE0170",4,0,4,1,0,3,4,1,3,2,2,0,0,4,0,2,2,3,4,2,3,2,1,1,3,1,1,2,0,1,2,2,2,0,2,3,3,2,2,1,0,2,1,0,1,7,2,2,0,0,2,3,4,2,1,3,6,1,1,1
"GENE0171",1,2,1,2,3,3,4,3,3,2,1,1,2,2,1,1,1,1,3,4,1,6,3,1,2,4,1,2,0,2,0,2,3,2,5,2,3,1,1,4,1,2,1,0,3,5,0,1,4,3,2,1,1,4,3,4,1,0,3,3
"GENE0172",1,1,5,3,1,3,2,0,2,3,0,2,0,3,2,3,3,1,3,1,2,1,0,2,1,3,4,2,3,5,4,2,2,2,2,0,3,3,2,3,4,0,3,0,2,0,1,3,2,1,0,2,1,1,2,1,2,0,4,3
"GENE0173",1,3,4,1,0,1,3,1,1,1,1,2,1,1,3,2,1,1,1,5,3,2,1,1,5,2,1,1,1,2,1,0,3,2,0,4,2,1,4,2,1,3,2,3,3,4,6,2,3,2,5,1,4,5,2,0,1,2,0,2
"GENE0174",2,2,3,2,3,0,1,8,5,3,3,2,4,3,1,3,3,6,1,3,1,8,2,3,2,0,2,2,1,2,2,1,0,2,3,3,1,5,2,3,2,2,4,3,7,1,2,2,1,3,2,1,0,1,2,3,3,4,7,2
"GENE0175",0,2,2,2,1,2,1,0,1,3,3,2,4,2,1,2,2,4,3,4,3,5,2,1,1,2,1,1,0,5,2,1,1,1,3,1,2,3,0,3,3,1,3,3,3,1,2,4,4,0,2,2,4,2,2,1,1,2,2,1
"GENE0176",3,1,2,0,3,0,4,3,3,2,2,0,8,1,0,2,3,0,4,1,2,0,3,2,1,1,1,1,2,1,2,0,2,3,4,1,1,2,1,8,3,1,1,2,2,3,1,4,5,3,1,3,2,4,1,1,4,2,1,0
"GENE0177",0,1,1,2,2,2,1,2,0,1,1,2,0,1,0,2,6,2,2,3,3,2,3,4,2,3,0,0,2,1,1,3,0,2,1,2,4,2,1,1,1,3,3,2,2,6,1,4,2,2,0,1,4,3,3,0,3,1,1,0
"GENE0178",2,2,0,4,2,1,0,1,4,2,2,3,2,3,3,1,1,4,1,1,2,4,3,4,3,2,1,4,1,2,7,0,2,1,1,6,3,3,3,1,3,3,3,2,3,2,3,2,3,5,0,1,0,3,2,1,1,3,1,1
"GENE0179",2,4,2,2,0,1,1,2,3,1,2,3,3,1,3,2,1,3,2,2,2,3,3,3,2,3,2,1,6,1,2,2,3,0,4,1,3,3,2,1,2,3,2,2,1,4,0,2,3,2,2,3,1,1,2,3,0,6,1,1
"GENE0180",2,3,1,4,1,4,1,6,2,2,2,2,5,3,0,0,3,0,2,3,2,6,2,3,1,2,2,3,2,1,1,1,3,5,4,1,2,2,1,1,2,0,2,2,2,1,5,1,0,1,2,2,4,6,3,4,1,0,2,1
